Day,Time,Average
2018-02-01,0:00:00,-0.810731111
2018-02-01,1:00:00,-0.854032222
2018-02-01,2:00:00,-0.779398333
2018-02-01,3:00:00,-1.001266111
2018-02-01,4:00:00,-0.772486111
2018-02-01,5:00:00,-1.366836111
2018-02-01,6:00:00,-5.351875556
2018-02-01,7:00:00,-0.930178056
2018-02-01,8:00:00,-0.8471525
2018-02-01,9:00:00,-1.103427778
2018-02-01,10:00:00,-0.896116667
2018-02-01,11:00:00,-1.587593333
2018-02-01,12:00:00,-1.603836944
2018-02-01,13:00:00,-1.947245
2018-02-01,14:00:00,-1.903953056
2018-02-01,15:00:00,-2.090414167
2018-02-01,16:00:00,-2.527993611
2018-02-01,17:00:00,-1.902608333
2018-02-01,18:00:00,-2.194451111
2018-02-01,19:00:00,-1.387328889
2018-02-01,20:00:00,-1.444418889
2018-02-01,21:00:00,-1.333861389
2018-02-01,22:00:00,-1.317825833
2018-02-01,23:00:00,-1.008665833
2018-02-02,0:00:00,-0.970281111
2018-02-02,1:00:00,-0.760575278
2018-02-02,2:00:00,-0.847307778
2018-02-02,3:00:00,-0.789568333
2018-02-02,4:00:00,-0.807562778
2018-02-02,5:00:00,-4.441782778
2018-02-02,6:00:00,-1.128928611
2018-02-02,7:00:00,-0.895322778
2018-02-02,8:00:00,-0.963201111
2018-02-02,9:00:00,-3.727507778
2018-02-02,10:00:00,-3.171833611
2018-02-02,11:00:00,-1.114075
2018-02-02,12:00:00,-1.307629722
2018-02-02,13:00:00,-0.84179
2018-02-02,14:00:00,-0.879339444
2018-02-02,15:00:00,-0.887795833
2018-02-02,16:00:00,-0.845403333
2018-02-02,17:00:00,-1.399626944
2018-02-02,18:00:00,-1.836004444
2018-02-02,19:00:00,-1.653632778
2018-02-02,20:00:00,-1.175896667
2018-02-02,21:00:00,-1.198528056
2018-02-02,22:00:00,-1.107061944
2018-02-02,23:00:00,-0.967039167
2018-02-03,0:00:00,-0.853393611
2018-02-03,1:00:00,-0.821531111
2018-02-03,2:00:00,-0.802110278
2018-02-03,3:00:00,-0.807253056
2018-02-03,4:00:00,-0.820225
2018-02-03,5:00:00,-0.745169722
2018-02-03,6:00:00,-1.116466667
2018-02-03,7:00:00,-0.948942222
2018-02-03,8:00:00,-1.266022778
2018-02-03,9:00:00,-2.530329444
2018-02-03,10:00:00,-2.443143611
2018-02-03,11:00:00,-1.023635833
2018-02-03,12:00:00,-1.002768889
2018-02-03,13:00:00,-0.991170278
2018-02-03,14:00:00,-1.01968
2018-02-03,15:00:00,-1.053948056
2018-02-03,16:00:00,-1.017785
2018-02-03,17:00:00,-2.0893725
2018-02-03,18:00:00,-2.564026944
2018-02-03,19:00:00,-1.419140278
2018-02-03,20:00:00,-1.160446389
2018-02-03,21:00:00,-1.117294722
2018-02-03,22:00:00,-1.035483333
2018-02-03,23:00:00,-1.001243889
2018-02-04,0:00:00,-0.912847778
2018-02-04,1:00:00,-0.864925278
2018-02-04,2:00:00,-0.841657778
2018-02-04,3:00:00,-0.836707222
2018-02-04,4:00:00,-0.845925556
2018-02-04,5:00:00,-0.806613333
2018-02-04,6:00:00,-0.875876944
2018-02-04,7:00:00,-1.2113675
2018-02-04,8:00:00,-1.195803333
2018-02-04,9:00:00,-2.871292778
2018-02-04,10:00:00,-0.977034444
2018-02-04,11:00:00,-1.083446667
2018-02-04,12:00:00,-0.999502222
2018-02-04,13:00:00,-1.4182875
2018-02-04,14:00:00,-4.198189444
2018-02-04,15:00:00,-2.445306667
2018-02-04,16:00:00,-2.267550833
2018-02-04,17:00:00,-0.853485833
2018-02-04,18:00:00,-2.493114167
2018-02-04,19:00:00,-1.792099167
2018-02-04,20:00:00,-1.310113889
2018-02-04,21:00:00,-1.119072778
2018-02-04,22:00:00,-1.177116389
2018-02-04,23:00:00,-0.881216111
2018-02-05,0:00:00,-0.865413333
2018-02-05,1:00:00,-0.729182778
2018-02-05,2:00:00,-0.795785278
2018-02-05,3:00:00,-0.719474722
2018-02-05,4:00:00,-0.792009722
2018-02-05,5:00:00,-0.735086944
2018-02-05,6:00:00,-0.7974325
2018-02-05,7:00:00,-1.352551111
2018-02-05,8:00:00,-1.059458889
2018-02-05,9:00:00,-1.2680675
2018-02-05,10:00:00,-1.221813056
2018-02-05,11:00:00,-0.927473333
2018-02-05,12:00:00,-0.886583056
2018-02-05,13:00:00,-2.556908333
2018-02-05,14:00:00,-0.964518889
2018-02-05,15:00:00,-0.989088889
2018-02-05,16:00:00,-0.878259444
2018-02-05,17:00:00,-1.073628056
2018-02-05,18:00:00,-2.701273889
2018-02-05,19:00:00,-1.983367778
2018-02-05,20:00:00,-0.965796667
2018-02-05,21:00:00,-1.114409722
2018-02-05,22:00:00,-1.010339444
2018-02-05,23:00:00,-0.987864722
2018-02-06,0:00:00,-0.730950278
2018-02-06,1:00:00,-0.781366111
2018-02-06,2:00:00,-0.731214167
2018-02-06,3:00:00,-0.927974722
2018-02-06,4:00:00,-0.746295278
2018-02-06,5:00:00,-0.760603333
2018-02-06,6:00:00,-0.926404722
2018-02-06,7:00:00,-1.175036667
2018-02-06,8:00:00,-0.989188333
2018-02-06,9:00:00,-1.024973889
2018-02-06,10:00:00,-1.140368056
2018-02-06,11:00:00,-1.141459444
2018-02-06,12:00:00,-0.879803056
2018-02-06,13:00:00,-1.338048333
2018-02-06,14:00:00,-4.12608
2018-02-06,15:00:00,-1.599181944
2018-02-06,16:00:00,-0.973443056
2018-02-06,17:00:00,-1.332719167
2018-02-06,18:00:00,-1.684173889
2018-02-06,19:00:00,-2.835693056
2018-02-06,20:00:00,-1.417078333
2018-02-06,21:00:00,-1.196196389
2018-02-06,22:00:00,-1.243494722
2018-02-06,23:00:00,-1.040369722
2018-02-07,0:00:00,-0.961408889
2018-02-07,1:00:00,-0.8044675
2018-02-07,2:00:00,-0.8575925
2018-02-07,3:00:00,-0.860923889
2018-02-07,4:00:00,-0.779375
2018-02-07,5:00:00,-0.841193056
2018-02-07,6:00:00,-0.926695278
2018-02-07,7:00:00,-0.947858611
2018-02-07,8:00:00,-0.949723889
2018-02-07,9:00:00,-3.436226667
2018-02-07,10:00:00,-2.983789444
2018-02-07,11:00:00,-1.817064167
2018-02-07,12:00:00,-0.857542778
2018-02-07,13:00:00,-0.926436389
2018-02-07,14:00:00,-1.588249167
2018-02-07,15:00:00,-1.751493611
2018-02-07,16:00:00,-1.056120278
2018-02-07,17:00:00,-2.652868333
2018-02-07,18:00:00,-1.887218333
2018-02-07,19:00:00,-1.652267222
2018-02-07,20:00:00,-1.536907778
2018-02-07,21:00:00,-1.116818333
2018-02-07,22:00:00,-1.147456111
2018-02-07,23:00:00,-0.888740278
